variant,regime,method,num_scenes,num_decisions,raw_scenarios_seen,gamma_rec,wall_s,audit_labels_s,audit_labels_fraction,candidate_features_s,policy_selection_s,waymax_step_metrics_s
balanced,near_contact,scalar,8,192,12660,0.0,8089.913961329497,7972.153147781268,0.9854435023522948,5.569968615658581,16.120499601587653,87.33221415802836
balanced,near_contact,v48,8,192,12660,0.0,5879.833868551999,5793.492042596452,0.9853156011061227,5.027748785912991,11.771899739280343,61.79765060171485
balanced,contact,scalar,8,192,12529,0.0,4851.625384093262,4777.9459713744,0.9848134579886504,4.537259815260768,9.569090036675334,53.12841077335179
balanced,contact,v48,8,192,12529,0.0,4657.974219995551,4588.321493042633,0.985046562375997,4.154507518745959,9.014950373210013,50.30393756274134
precision,near_contact,scalar,8,192,12660,0.0,7418.049695232883,7308.262925723568,0.9852000493364356,5.579683495685458,14.05658404994756,81.02664694655687
precision,near_contact,v48,8,192,12660,0.0,5065.726741052233,4993.182929648086,0.9856794858640405,5.022202577441931,9.001609019935131,51.23184526525438
precision,contact,scalar,8,192,12529,0.0,4424.866570839658,4358.246627489105,0.9849441915854399,4.651553328149021,7.269129575230181,48.123677015304565
precision,contact,v48,8,192,12529,0.0,4370.833006438799,4307.871341176331,0.9855950421419172,4.286916757002473,6.715676031075418,45.87826741486788
