task,status,stage,raw_or_certificate_rc,task_complete_exists,task_failed_exists,adapt_log_exists
A_contract_natural_no_reliability_no_joint_balanced,failed_unrecorded,post_adaptation_contract_or_set_e,,False,False,True
A_contract_natural_no_reliability_no_joint_precision,failed_unrecorded,post_adaptation_contract_or_set_e,,False,False,True
B_add_support_reliability_no_joint_balanced,failed_unrecorded,post_adaptation_contract_or_set_e,,False,False,True
B_add_support_reliability_no_joint_precision,failed_unrecorded,post_adaptation_contract_or_set_e,,False,False,True
C_add_joint_refinement_no_reliability_balanced,complete,certificate,20,True,False,True
C_add_joint_refinement_no_reliability_precision,failed,adaptation,31,False,True,True
D_full_contract_slack_rank_balanced,complete,certificate,20,True,False,True
D_full_contract_slack_rank_precision,failed,adaptation,31,False,True,True
