variant,regime,dev_recall_v48_28,dev_recall_v48_29,dev_precision_lcb_v48_28,dev_precision_lcb_v48_29,dev_harmful_v48_28,dev_harmful_v48_29,dev_adv_v48_28,dev_adv_v48_29,cert_selected_v48_28,cert_selected_v48_29,cert_positive_v48_28,cert_positive_v48_29,cert_harmful_v48_28,cert_harmful_v48_29,cert_precision_lcb_v48_28,cert_precision_lcb_v48_29,cert_recall_v48_28,cert_recall_v48_29,cert_adv_v48_28,cert_adv_v48_29
balanced,near,0.25,0.625,0.0862372207886026,0.148187906110516,1,4,0.0668272389368691,0.001751828610412154,15,43,1,3,11,22,0.0201600960721992,0.03423239912153719,0.1111111111111111,0.3333333333333333,-0.1508004115642479,-0.14847953148683696
balanced,contact,0.2352941176470588,0.23529411764705882,0.1601126247044024,0.12300962927241989,5,6,-0.0328739327303156,-0.05564345849792981,18,38,1,1,4,16,0.0167690007112096,0.007905010958849067,0.05,0.05,-0.0940628253727856,-0.21210936414771753
precision,near,0.25,0.375,0.0781219436491076,0.17208933803305104,1,2,0.1173399209130846,0.14850651438890214,7,10,1,1,2,5,0.0437656987134425,0.03041064428212753,0.1111111111111111,0.1111111111111111,-0.1647216635241737,-0.1715555911011517
precision,contact,0.0588235294117647,0.058823529411764705,0.0233016728617492,0.027603400332629827,2,1,-0.0356238904344706,0.010247378531315592,28,24,0,0,12,10,3.469446951953614e-18,0.0,0.0,0.0,-0.1829868175503303,-0.16836534019018146
