group,variant,regime,candidate_positive_auc,candidate_safe_positive_auc,candidate_harm_auc,evidence_corr,evidence_positive_auc,evidence_safe_auc,evidence_harm_auc,conditional_harm_auc,false_switch,harmful_switch,positive_top1_regret,selected,positive_selected,precision,harmful_selected,harmful_rate,positive_recall,teacher_advantage_mean
A_engineering_contract_only,balanced,near,0.8469512195121951,0.8456119162640902,0.5,-0.024196127565428688,0.8051558752997602,0.8153420324238829,0.5,0.5,0.07829181494661921,0.6,0.0,5,3,0.6,1,0.2,0.3333333333333333,0.2505090930461849
A_engineering_contract_only,balanced,contact,0.5513693637404977,0.5661764705882353,0.5,-0.159228359159906,0.4437608152278408,0.4992317935060944,0.5,0.5,0.14112903225806453,0.44036697247706424,0.20302231004261057,15,0,0.0,7,0.4666666666666667,0.0,-0.24898373248074185
A_engineering_contract_only,precision,near,0.7411350844277673,0.7213499731615673,0.5915554932735426,-0.012632038464193085,0.7075,0.7006562342251388,0.5255931879066208,0.5666666666666667,0.11743772241992882,0.5142857142857142,0.13323170956487418,11,0,0.0,6,0.5454545454545454,0.0,-0.328604674814388
A_engineering_contract_only,precision,contact,0.550071158318581,0.5686942959001783,0.5624997202553061,-0.10038060521540319,0.4239769664297966,0.4979083222073876,0.5576202753320036,0.5204639602319802,0.18010752688172044,0.43884892086330934,0.14335645700829974,36,1,0.027777777777777776,15,0.4166666666666667,0.05,-0.18848271069480388
B_add_safe_checkpoint_contract,balanced,near,0.8469512195121951,0.8456119162640902,0.5,-0.024196127565428688,0.8051558752997602,0.8153420324238829,0.5,0.5,0.07829181494661921,0.6,0.0,5,3,0.6,1,0.2,0.3333333333333333,0.2505090930461849
B_add_safe_checkpoint_contract,balanced,contact,0.5513693637404977,0.5661764705882353,0.5,-0.159228359159906,0.4437608152278408,0.4992317935060944,0.5,0.5,0.14112903225806453,0.44036697247706424,0.20302231004261057,15,0,0.0,7,0.4666666666666667,0.0,-0.24898373248074185
B_add_safe_checkpoint_contract,precision,near,0.825046904315197,0.8046162104133119,0.3968946188340807,0.02497041194800096,0.8017857142857143,0.8297872340425532,0.3667003707448601,0.7954545454545454,0.09608540925266904,0.4666666666666667,0.06916214791131718,14,1,0.07142857142857142,4,0.2857142857142857,0.1111111111111111,-0.12318114439319913
B_add_safe_checkpoint_contract,precision,contact,0.5479537644486098,0.5619540998217469,0.37186518096124754,-0.10193929494738933,0.372244623655914,0.4634623943035158,0.3828999638858794,0.4080128205128205,0.17876344086021506,0.4172661870503597,0.14462090813913134,44,1,0.022727272727272728,20,0.45454545454545453,0.05,-0.2217976048008362
C_add_execution_exact_safe_utility,balanced,near,0.8085834896810506,0.8203837895866881,0.5219955156950673,-0.01314024092740425,0.7443045563549161,0.7595887702649269,0.42316683364343305,0.5565097904500171,0.2775800711743772,0.5476190476190477,0.0,13,2,0.15384615384615385,7,0.5384615384615384,0.2222222222222222,-0.27606998128879545
C_add_execution_exact_safe_utility,balanced,contact,0.5745635044604117,0.5843694295900178,0.4905239282421291,-0.1490916303714782,0.45991155547010193,0.4810505319148936,0.4630334815751669,0.6715692282550966,0.38306451612903225,0.5322033898305085,0.23287248484738762,17,0,0.0,10,0.5882352941176471,0.0,-0.33800390730579427
C_add_execution_exact_safe_utility,precision,near,0.824249530956848,0.8038110574342459,0.4087780269058296,0.02175213993540198,0.8,0.8280141843971631,0.3685576923076923,0.7555555555555555,0.09608540925266904,0.5,0.06916214791131718,10,0,0.0,3,0.3,0.0,-0.17703831169470016
C_add_execution_exact_safe_utility,precision,contact,0.5482106286229997,0.5621546345811052,0.38117732232855006,-0.11144372414063486,0.37231182795698925,0.4635514018691589,0.3847093527676557,0.432258064516129,0.1814516129032258,0.4326241134751773,0.14462090813913134,47,1,0.02127659574468085,21,0.44680851063829785,0.05,-0.22002873750009852
D_full_execution_physics_bridge,balanced,near,0.4596622889305816,0.48450080515297905,0.5076177130044843,0.16697312095805145,0.43884892086330934,0.4634242783708976,0.40882437070938216,0.6075187969924812,0.7615658362989324,0.4409090909090909,0.0,16,2,0.125,7,0.4375,0.2222222222222222,-0.1470236859264334
D_full_execution_physics_bridge,balanced,contact,0.5613107015168871,0.5741867201426025,0.47901467204970055,0.031202800921848056,0.4991935483870968,0.5582045621780721,0.4342409303154762,0.6442442442442442,0.8064516129032258,0.4594155844155844,0.30890313528674224,17,0,0.0,7,0.4117647058823529,0.0,-0.20056852966935765
D_full_execution_physics_bridge,precision,near,0.824202626641651,0.8053542673107891,0.38213565022421525,0.03777348610445825,0.8050612890470542,0.8297872340425532,0.37317037824259697,0.8727272727272727,0.08185053380782918,0.4230769230769231,0.06916214791131718,9,0,0.0,3,0.3333333333333333,0.0,-0.19670923521633352
D_full_execution_physics_bridge,precision,contact,0.5463015030025339,0.5601158645276292,0.36235777779767075,-0.08888114146021323,0.3707661290322581,0.46159323542501113,0.3767643713849138,0.42003642987249545,0.13844086021505375,0.4205607476635514,0.14462090813913134,48,1,0.020833333333333332,21,0.4375,0.05,-0.21545934020392454
