group,variant,regime,candidate_positive_auc,candidate_safe_positive_auc,candidate_harm_auc,evidence_positive_auc,evidence_safe_positive_auc,evidence_harm_auc,conditional_harm_auc,correlation,positive_top1_regret,false_switch_rate,harmful_switch_rate,selected,positive_selected,precision,precision_lcb,harmful_selected,harm_ucb,positive_recall,teacher_advantage_mean
A_three_factor_wide_range,balanced,near,0.8040806754221388,0.8254830917874396,0.6626793721973094,0.7794069729553601,0.7904310003954133,0.6011289705319556,0.5245714285714286,0.040806066562086594,0.0,0.06761565836298933,0.6666666666666666,20,2,0.1,0.042313656396411464,13,0.7705027427532927,0.2222222222222222,-0.13963976253123916
A_three_factor_wide_range,balanced,contact,0.5810823006699295,0.596780303030303,0.6539379101057211,0.49336666025764275,0.5422513571648059,0.6035287044139904,0.5431797375648459,-0.08682979857876004,0.1984427876131178,0.1196236559139785,0.46153846153846156,28,1,0.03571428571428571,0.010744778297465729,11,0.5139055433712908,0.05,-0.1683419102397128
A_three_factor_wide_range,precision,near,0.8022045028142589,0.7871712292002148,0.6553531390134529,0.8133649663898774,0.8067375886524822,0.5890721450617284,0.5384615384615384,0.048710368507498235,0.06916214791131718,0.099644128113879,0.4838709677419355,15,2,0.13333333333333333,0.05676591323615926,7,0.6267131734841521,0.2222222222222222,-0.23359919148500746
A_three_factor_wide_range,precision,contact,0.5586309833732515,0.5734625668449198,0.6291088900625733,0.41088252259180924,0.48123809523809524,0.6299245860543063,0.4096875,-0.09085097882664572,0.17169660849801321,0.17876344086021506,0.45323741007194246,23,0,0.0,0.0,13,0.6889235316389595,0.0,-0.2197518912764496
B_five_factor_old_range,balanced,near,0.8363039399624765,0.8351449275362319,0.5717068385650225,0.80514825676116,0.7884539343614076,0.5090561529271207,0.45257142857142857,-0.019807554800124486,0.0,0.09252669039145907,0.7407407407407407,8,0,0.0,0.0,5,0.8046420489652504,0.0,-0.2226042237683713
B_five_factor_old_range,balanced,contact,0.5637821514110174,0.5726604278074866,0.5416109042243686,0.48272482234746383,0.48648049645390073,0.5536092687893882,0.5547259852216748,-0.15446938007896865,0.22479806014993686,0.15053763440860216,0.5086206896551724,46,1,0.021739130434782608,0.006525344711156449,24,0.6137394562797144,0.05,-0.2598337231627696
B_five_factor_old_range,precision,near,0.8123827392120075,0.788244766505636,0.5854372197309416,0.8070383550810597,0.8195921985815603,0.5137980769230769,0.5833333333333334,-0.011618807309955083,0.06916214791131718,0.08185053380782918,0.52,6,0,0.0,0.0,4,0.8522974652239153,0.0,-0.39956289734311445
B_five_factor_old_range,precision,contact,0.5501371099309244,0.5657809714795009,0.5464862947479612,0.4010126257770941,0.4719047619047619,0.5364859637488948,0.5432098765432098,-0.15501581019663185,0.17046017635914032,0.13440860215053763,0.5142857142857142,27,1,0.037037037037037035,0.011145157415290805,13,0.6021955249798276,0.05,-0.19246972693454117
C_five_factor_wide_range_regression,balanced,near,0.77453095684803,0.7932098765432098,0.6809080717488789,0.7474747474747475,0.7584025306445236,0.6607614383791829,0.5117647058823529,0.053942544262298824,0.0,0.07829181494661921,0.6086956521739131,7,0,0.0,0.0,6,0.9562343012865575,0.0,-0.334243542218329
C_five_factor_wide_range_regression,balanced,contact,0.5792148286993648,0.5894830659536542,0.6556113428640485,0.5084538103406028,0.5498309945713408,0.6136656136656137,0.5331260464003826,-0.0721171166604416,0.19438761012491915,0.12634408602150538,0.5051546391752577,17,0,0.0,0.0,10,0.7267467907123457,0.0,-0.3086273556884741
C_five_factor_wide_range_regression,precision,near,0.7825046904315197,0.7689210950080515,0.65972533632287,0.7805456702253856,0.7681737588652482,0.5965140353411335,0.5984848484848485,0.015187361304395589,0.06916214791131718,0.08540925266903915,0.5,7,0,0.0,0.0,4,0.7740118883854743,0.0,-0.3425982885398871
C_five_factor_wide_range_regression,precision,contact,0.5552153840813635,0.5697638146167558,0.6331495224198588,0.4096007178106774,0.4787619047619048,0.6346559378468368,0.4405797101449275,-0.09586829220257391,0.17169660849801321,0.1639784946236559,0.453125,66,3,0.045454545454545456,0.022208578719029592,28,0.5031149401060862,0.15,-0.19153528387971458
D_add_listwise_frontier,balanced,near,0.774437148217636,0.7932769726247987,0.6809080717488789,0.7478005865102639,0.7584025306445236,0.660329348504489,0.5117647058823529,0.05387583081675588,0.0,0.07829181494661921,0.6086956521739131,7,0,0.0,0.0,6,0.9562343012865575,0.0,-0.334243542218329
D_add_listwise_frontier,balanced,contact,0.5796174806484085,0.5899175579322639,0.6556113428640485,0.5088213673119334,0.5504455597664653,0.6136656136656137,0.5331260464003826,-0.07205950428140097,0.19438761012491915,0.12903225806451613,0.5050505050505051,17,0,0.0,0.0,10,0.7267467907123457,0.0,-0.3086273556884741
D_add_listwise_frontier,precision,near,0.7799249530956848,0.7663714439076758,0.65972533632287,0.7742190589165678,0.7606382978723404,0.5991994598765432,0.5984848484848485,0.028594534270761054,0.06916214791131718,0.08185053380782918,0.5,6,0,0.0,0.0,4,0.8522974652239153,0.0,-0.39969800329653493
D_add_listwise_frontier,precision,contact,0.5554236523308689,0.5701314616755794,0.6331495224198588,0.41030571044029995,0.47904761904761906,0.635559437893,0.4405797101449275,-0.09724526272368955,0.17169660849801321,0.15725806451612903,0.44715447154471544,63,3,0.047619047619047616,0.023274850867266723,27,0.5092876600518202,0.15,-0.1913832568850587
