variant,best_epoch_zero_based,best_metric,best_metric_value,safe_top1_recall_min,safe_top1_recall_fold_min,safe_top1_accuracy_all,safe_top1_accuracy_near_audit,safe_top1_accuracy_contact_audit,valid_safe_admission_total_fixed_train_diagnostics,all_abstain_fixed_train_diagnostics,safe_top1_regret_max,interpretation
balanced,2,direct_contract_lexicographic,13.810515635301128,0.625,0.5,0.72,0.625,0.7647058823529411,0.0,1.0,0.22215490359812973,debug_only_not_certificate_final_thresholds_not_fitted
precision,9,direct_contract_lexicographic,13.860211387143483,0.5,0.3333333333333333,0.64,0.5,0.7058823529411765,0.0,1.0,0.2917834177613258,debug_only_not_certificate_final_thresholds_not_fitted
