group,variant,regime,admission_prior_mode,safe_hard_negative_weight,frontier_pairwise_weight,gate_passed,rejection_kind,certificate_groups,selected,safe_positive_selected,precision,precision_lcb90,harmful_selected,harmful_rate,harmful_ucb90,safe_positive_recall,teacher_advantage_mean,max_macro_share
A_risk_centered_reference,balanced,near,risk_centered,0.0,0.0,False,development_rule_fit_rejection,290,16,1,0.0625,0.01888694640528185,10,0.625,0.7615322037249073,0.1111111111111111,-0.17820447746908805,0.5
A_risk_centered_reference,balanced,contact,risk_centered,0.0,0.0,False,development_rule_fit_rejection,764,53,1,0.018867924528301886,0.0056608554166619335,32,0.6037735849056604,0.68550874844671,0.05,-0.2607533007959968,0.5283018867924528
A_risk_centered_reference,precision,near,risk_centered,0.0,0.0,False,development_rule_fit_rejection,290,12,2,0.16666666666666666,0.0714043525620886,5,0.4166666666666667,0.598051107354122,0.2222222222222222,-0.15229518157342714,0.75
A_risk_centered_reference,precision,contact,risk_centered,0.0,0.0,False,development_rule_fit_rejection,764,14,0,0.0,6.938893903907228e-18,8,0.5714285714285714,0.7244572846709523,0.0,-0.22230690400066236,0.7857142857142857
B_veto_decoupled,balanced,near,benefit_only,0.0,0.0,False,development_rule_fit_rejection,290,69,4,0.057971014492753624,0.031163353968947406,38,0.5507246376811594,0.6253995083961029,0.4444444444444444,-0.2125091348647721,0.5942028985507246
B_veto_decoupled,balanced,contact,benefit_only,0.0,0.0,False,development_rule_fit_rejection,764,26,0,0.0,0.0,13,0.5,0.6218760631716733,0.0,-0.2527950960597469,0.7307692307692307
B_veto_decoupled,precision,near,benefit_only,0.0,0.0,False,development_rule_fit_rejection,290,6,1,0.16666666666666666,0.05127383894482415,3,0.5,0.7317885263804511,0.1111111111111111,-0.19984526116024925,0.6666666666666666
B_veto_decoupled,precision,contact,benefit_only,0.0,0.0,False,development_rule_fit_rejection,764,61,2,0.03278688524590164,0.013707792223487364,29,0.47540983606557374,0.5569194256295736,0.1,-0.2175052292279785,0.7540983606557377
C_add_safe_hard_negative,balanced,near,benefit_only,1.0,0.0,False,development_rule_fit_rejection,290,19,2,0.10526315789473684,0.04458353306801702,11,0.5789473684210527,0.7120732854135498,0.2222222222222222,-0.18038851152871374,0.631578947368421
C_add_safe_hard_negative,balanced,contact,benefit_only,1.0,0.0,False,development_rule_fit_rejection,764,26,0,0.0,0.0,13,0.5,0.6218760631716733,0.0,-0.2527950960597469,0.7307692307692307
C_add_safe_hard_negative,precision,near,benefit_only,1.0,0.0,False,development_rule_fit_rejection,290,6,1,0.16666666666666666,0.05127383894482415,3,0.5,0.7317885263804511,0.1111111111111111,-0.19984526116024925,0.6666666666666666
C_add_safe_hard_negative,precision,contact,benefit_only,1.0,0.0,False,development_rule_fit_rejection,764,61,2,0.03278688524590164,0.013707792223487364,29,0.47540983606557374,0.5569194256295736,0.1,-0.2175052292279785,0.7540983606557377
D_add_frontier_to_hard_negative,balanced,near,benefit_only,1.0,0.25,False,development_rule_fit_rejection,290,19,2,0.10526315789473684,0.04458353306801702,11,0.5789473684210527,0.7120732854135498,0.2222222222222222,-0.18038851152871374,0.631578947368421
D_add_frontier_to_hard_negative,balanced,contact,benefit_only,1.0,0.25,False,development_rule_fit_rejection,764,26,0,0.0,0.0,13,0.5,0.6218760631716733,0.0,-0.2527950960597469,0.7307692307692307
D_add_frontier_to_hard_negative,precision,near,benefit_only,1.0,0.25,False,development_rule_fit_rejection,290,6,1,0.16666666666666666,0.05127383894482415,3,0.5,0.7317885263804511,0.1111111111111111,-0.19984526116024925,0.6666666666666666
D_add_frontier_to_hard_negative,precision,contact,benefit_only,1.0,0.25,False,development_rule_fit_rejection,764,61,2,0.03278688524590164,0.013707792223487364,29,0.47540983606557374,0.5569194256295736,0.1,-0.2175052292279785,0.7540983606557377
