variant,regime,valid_for_deployment,proposal_top_k,v48.23_candidate_benefit_auc,v48.24_candidate_benefit_auc,delta_candidate_benefit_auc,v48.23_candidate_safe_benefit_auc,v48.24_candidate_safe_benefit_auc,delta_candidate_safe_benefit_auc,v48.23_candidate_harm_auc,v48.24_candidate_harm_auc,delta_candidate_harm_auc,v48.23_candidate_pred_teacher_correlation,v48.24_candidate_pred_teacher_correlation,delta_candidate_pred_teacher_correlation,v48.23_learned_top1_correlation,v48.24_learned_top1_correlation,delta_learned_top1_correlation,v48.23_learned_top1_benefit_auc,v48.24_learned_top1_benefit_auc,delta_learned_top1_benefit_auc,v48.23_learned_top1_safe_benefit_auc,v48.24_learned_top1_safe_benefit_auc,delta_learned_top1_safe_benefit_auc,v48.23_learned_top1_harm_auc,v48.24_learned_top1_harm_auc,delta_learned_top1_harm_auc,v48.23_learned_top1_conditional_harm_auc,v48.24_learned_top1_conditional_harm_auc,delta_learned_top1_conditional_harm_auc,v48.23_nonpositive_false_switch_rate,v48.24_nonpositive_false_switch_rate,delta_nonpositive_false_switch_rate,v48.23_harmful_switch_rate,v48.24_harmful_switch_rate,delta_harmful_switch_rate,v48.23_positive_top1_regret_mean,v48.24_positive_top1_regret_mean,delta_positive_top1_regret_mean,fit_groups,fit_selected,fit_opportunities,oracle_fit_safe_positive_groups,oracle_fit_precision_lcb,oracle_fit_feasible,verify_groups,verify_selected,verify_opportunities,oracle_verify_safe_positive_groups,oracle_verify_precision_lcb,oracle_verify_feasible,top1_fit_safe_positive_groups,top1_verify_safe_positive_groups,top3_fit_safe_positive_groups,top3_verify_safe_positive_groups,top5_fit_safe_positive_groups,top5_verify_safe_positive_groups,top8_fit_safe_positive_groups,top8_verify_safe_positive_groups
balanced,near,False,8,0.8514071294559099,0.8554878048780488,0.0040806754221388575,0.854669887278583,0.8521202361782072,-0.0025496511003757494,0.38147421524663677,0.40745515695067264,0.025980941704035865,0.01476100797177125,0.00919324437350723,-0.00556776359826402,-0.07977701319233794,-0.10105983839935569,-0.02128282520701774,0.8261390887290168,0.8285371702637889,0.0023980815347721673,0.8319493871095295,0.8202927814235235,-0.011656605686006016,0.36423841059602646,0.3501260644117787,-0.014112346184247782,0.6691729323308271,0.49747474747474746,-0.17169818485607963,0.0036231884057971015,0.0035587188612099642,-6.446954458713726e-05,0.0,0.0,0.0,0.005407824040056142,0.12896737224775817,0.12355954820770203,127,0,3,3,0.15379917807596724,False,163,0,6,6,0.5237063285891093,True,3,5,3,6,3,6,3,6
balanced,contact,False,8,0.5507376167169982,0.5411086813148669,-0.009628935402131278,0.562466577540107,0.5520387700534759,-0.01042780748663108,0.4110344734981067,0.4028066225639832,-0.008227850934123482,-0.15866453210783096,-0.16824915659364603,-0.009584624485815069,-0.24073011469785296,-0.26192092149739943,-0.021190806799546463,0.38396724151507994,0.3964104855525767,0.012443244037496748,0.5138234939031752,0.49206186622964254,-0.021761627673532624,0.3972579263067695,0.3542711845820654,-0.04298674172470407,0.5217524509803921,0.49499458874458874,-0.026757862235803398,0.02459016393442623,0.03494623655913978,0.010356072624713553,0.4,0.42857142857142855,0.028571428571428525,0.18238249120926467,0.21176344961886856,0.02938095840960389,384,0,10,10,0.46519464754093653,False,380,0,10,10,0.8589313179094592,True,7,7,10,10,10,10,10,10
precision,near,False,8,0.7891181988742965,0.7373827392120075,-0.051735459662288985,0.779320987654321,0.7163177670424047,-0.06300322061191632,0.6556446188340808,0.6306109865470853,-0.02503363228699551,0.04802951499958002,-0.0016865590318408076,-0.04971607403142082,0.044386542899568907,0.014653459170380752,-0.029733083729188155,0.7728571428571429,0.7265070921985816,-0.04635005065856135,0.7915194346289752,0.715962441314554,-0.07555699331442123,0.5928270042194093,0.558162923231646,-0.0346640809877633,0.5274725274725275,0.6105769230769231,0.08310439560439564,0.2210144927536232,0.15302491103202848,-0.06798958172159472,0.49230769230769234,0.6222222222222222,0.1299145299145299,0.09091329096867908,0.20239647133555674,0.11148318036687767,127,0,3,3,0.15379917807596724,False,163,0,6,6,0.5237063285891093,True,3,6,3,6,3,6,3,6
precision,contact,False,8,0.5610816064424312,0.548293935922802,-0.012787670519629257,0.5756795900178253,0.5685160427807486,-0.007163547237076684,0.6403688937328237,0.6246050004923507,-0.015763893240473004,-0.1112807455108387,-0.13604885046195278,-0.024768104951114076,-0.0619912731110904,-0.09572588383770166,-0.033734610726611255,0.42171036510659154,0.41398799010950194,-0.007722374997089609,0.4958611481975968,0.44959555716527827,-0.04626559103231853,0.6496305247659527,0.6166341735134382,-0.032996351252514544,0.5023041474654378,0.4430875576036866,-0.05921658986175121,0.2773224043715847,0.2446236559139785,-0.032698748457606175,0.4272300469483568,0.45789473684210524,0.03066468989374843,0.10601635966937724,0.2637166761879077,0.15770031651853045,384,0,10,10,0.46519464754093653,False,380,0,10,10,0.8589313179094592,True,7,5,10,10,10,10,10,10
