variant,regime,failure_layer,rejection_kind,oracle_feasible,proposal_safe_positive_groups,dev_groups,dev_opportunities,dev_selected,dev_safe_positive_selected,dev_precision,dev_precision_lcb90,dev_harmful_selected,dev_harmful_ucb90,dev_safe_positive_recall,dev_teacher_advantage_mean,dev_max_macro_share,dev_constraint_deficit,certificate_groups,certificate_opportunities,certificate_selected,certificate_safe_positive_selected,certificate_precision,certificate_precision_lcb90,certificate_harmful_selected,certificate_harmful_ucb90,certificate_safe_positive_recall,certificate_teacher_advantage_mean,certificate_max_macro_share,candidate_positive_auc,evidence_safe_positive_auc,evidence_harm_auc,evidence_correlation
balanced,near,development_rule_fit,development_rule_fit_rejection,True,9,110,8,20,5,0.25,0.148187906110516,4,0.3352836998293088,0.625,0.001751828610412154,0.4,0.3370957937187928,290,9,43,3,0.06976744186046512,0.03423239912153719,22,0.6070781943243446,0.3333333333333333,-0.14847953148683696,0.5116279069767442,0.8308161350844278,0.7801502570185844,0.6528361344537815,-0.04946258667705035
balanced,contact,development_rule_fit,development_rule_fit_rejection,True,20,279,17,18,4,0.2222222222222222,0.12300962927241989,6,0.48429107475403876,0.23529411764705882,-0.05564345849792981,0.5,0.5669249039795488,764,20,38,1,0.02631578947368421,0.007905010958849067,16,0.5248715078005755,0.05,-0.21210936414771753,0.5789473684210527,0.561852198965601,0.4017241379310345,0.6176015023165282,-0.27052326180368563
precision,near,development_rule_fit,development_rule_fit_rejection,True,9,110,8,9,3,0.3333333333333333,0.17208933803305104,2,0.4339418504637539,0.375,0.14850651438890214,0.5555555555555556,0.41185251243070287,290,9,10,1,0.1,0.03041064428212753,5,0.6877955551194843,0.1111111111111111,-0.1715555911011517,0.7,0.8166979362101313,0.7864714790509844,0.587882279514139,-0.023025493765859155
precision,contact,development_rule_fit,development_rule_fit_rejection,True,20,279,17,11,1,0.09090909090909091,0.027603400332629827,1,0.26050501154805517,0.058823529411764705,0.010247378531315592,0.6363636363636364,0.3986770122849441,764,20,24,0,0.0,0.0,10,0.546888089512834,0.0,-0.16836534019018146,0.7916666666666666,0.5494880072199659,0.47939474855362707,0.6395019494054832,-0.1591669369369826
