source,task,variant,bucket,rejection_kind,pipeline_certificate_valid,support_feasible,dev_groups,dev_selected,dev_positive_selected,dev_harmful_selected,dev_safe_recall,dev_precision_lcb90,dev_harmful_group_ucb90,dev_teacher_advantage_mean,dev_max_macro_share,dev_constraint_deficit,certificate_groups,certificate_selected,certificate_positive_selected,certificate_harmful_selected,certificate_safe_recall,certificate_precision_lcb90,certificate_harmful_selected_ucb90,certificate_harmful_group_ucb90,certificate_teacher_advantage_mean,certificate_max_macro_share,candidate_positive_auc,candidate_safe_positive_auc,candidate_harm_auc,candidate_rank_teacher_correlation,proposal_evidence_top1_correlation,proposal_evidence_top1_safe_positive_auc,proposal_evidence_top1_harm_auc,proposal_nonpositive_false_switch_rate,proposal_harmful_switch_rate,oracle_safe_positive_groups,oracle_precision_lcb90,oracle_harmful_group_ucb90
main,main,balanced,near,development_rule_fit_rejection,True,True,110,6,1,0,0.125,0.05127383894482415,0.014711030858610509,0.10374322186697577,0.8333333333333334,0.6570594943885092,290,5,0,3,0.0,0.0,0.8201274501796578,0.021180520968736117,-0.3551415479129546,0.8,0.7826454033771107,0.7891170155662909,0.7003923766816144,0.06013654544927309,0.02054581150650907,0.7346777382364571,0.648389274691358,0.028469750889679714,0.5,9,0.8456759411873505,0.005631467026845402
main,main,balanced,contact,development_rule_fit_rejection,True,True,279,11,2,4,0.11764705882352941,0.07812194364910768,0.026706843503640092,-0.09774470160651318,0.8181818181818182,0.9228540183420303,764,17,0,6,0.0,0.0,0.5083305594686341,0.01313148276294284,-0.21477526316758966,0.8235294117647058,0.5681835537505641,0.5862967914438503,0.6805584151679811,0.06213287655170249,-0.11777067137614203,0.5321110314452525,0.6263863152363305,0.041666666666666664,0.375,20,0.9241130208892355,0.002145093414408229
main,main,precision,near,development_rule_fit_rejection,True,True,110,7,3,1,0.375,0.22598811161452573,0.029902203883481276,0.27331406589225515,0.42857142857142855,0.4267014796401274,290,6,0,3,0.0,0.0,0.7317885263804511,0.021180520968736117,-0.2935625172867231,1.0,0.8123358348968105,0.7891841116478797,0.6770235426008968,0.05984319570180312,-0.022707604706614246,0.7839475012619889,0.6187667817414653,0.02491103202846975,0.5714285714285714,9,0.8456759411873505,0.005631467026845402
main,main,precision,contact,development_rule_fit_rejection,True,True,279,13,0,2,0.0,0.0,0.017121468046272896,-0.04164209190101053,0.6153846153846154,0.5112360440135736,764,28,0,16,0.0,3.469446951953614e-18,0.6840237705010868,0.02868111408214584,-0.27480042911738445,0.7857142857142857,0.5419660522753307,0.557876559714795,0.6728570437475941,0.08192934524302908,-0.11598781176982544,0.45695238095238094,0.6675748563188508,0.06451612903225806,0.5,20,0.9241130208892355,0.002145093414408229
