variant,regime,failure_layer,proposal_oracle_feasible,certificate_safe_positive_groups,candidate_positive_auc,evidence_safe_positive_auc,evidence_harm_auc,evidence_correlation,dev_selected,dev_positive,dev_precision,dev_precision_lcb,dev_harmful,dev_harm_ucb,dev_recall,dev_teacher_advantage_mean,cert_selected,cert_positive,cert_precision,cert_precision_lcb,cert_harmful,cert_harm_ucb,cert_recall,cert_teacher_advantage_mean
balanced,near,development_rule_fit,True,9,0.7878048780487805,0.7714511664689601,0.6345960442507542,0.03513918143345443,10,2,0.2,0.08623722078860266,1,0.28244430139030524,0.25,0.06682723893686919,15,1,0.06666666666666667,0.020160096072199235,11,0.8511216158696093,0.1111111111111111,-0.1508004115642479
balanced,contact,development_rule_fit,True,20,0.5737165469124232,0.5792331560283688,0.6239756367663345,-0.0668209765139087,14,4,0.2857142857142857,0.16011262470440246,5,0.5281262204134203,0.23529411764705882,-0.03287393273031567,18,1,0.05555555555555555,0.016769000711209653,4,0.36788695030366353,0.05,-0.09406282537278561
precision,near,development_rule_fit,True,9,0.7890243902439025,0.7841312056737588,0.5837064856276181,0.024305928385770316,11,2,0.18181818181818182,0.07812194364910768,1,0.26050501154805517,0.25,0.11733992091308468,7,1,0.14285714285714285,0.04376569871344255,2,0.5275371834434031,0.1111111111111111,-0.16472166352417372
precision,contact,development_rule_fit,True,20,0.5536950258599743,0.4797142857142857,0.6458557738413748,-0.07164950748085913,13,1,0.07692307692307693,0.023301672861749223,2,0.31959395211256303,0.058823529411764705,-0.035623890434470666,28,0,0.0,3.469446951953614e-18,12,0.5490818139635008,0.0,-0.18298681755033033
