version,variant,regime,pipeline_valid,num_groups,num_selected,safe_positive_selected,harmful_selected,precision,precision_lcb90,harmful_selected_rate,harmful_selected_ucb90,positive_recall,teacher_advantage_mean,candidate_safe_positive_auc,legacy_evidence_top1_correlation,deployed_or_old_exact_correlation,max_selected_macro_share,valid_for_deployment,rejection_kind
v48.34,balanced,near,True,290,5,1,0,0.2,0.061895749028760355,0.0,0.24725712712067496,0.1111111111111111,0.12449186624037092,0.8682903918411164,-0.050041688511398306,,0.6,False,development_rule_fit_rejection
v48.34,balanced,contact,True,764,41,0,16,0.0,0.0,0.3902439024390244,0.49029742356492007,0.0,-0.16421472985832894,0.5617090017825312,-0.1305309375863362,,0.5853658536585366,False,development_rule_fit_rejection
v48.34,precision,near,True,290,9,1,4,0.1111111111111111,0.0338537678981784,0.4444444444444444,0.6484104590852866,0.1111111111111111,-0.19079400639610988,0.8105206655931294,-0.010970741432466173,,0.7777777777777778,False,development_rule_fit_rejection
v48.34,precision,contact,True,764,34,0,17,0.0,0.0,0.5,0.6073304068971309,0.0,-0.22130460730139195,0.5453097147950089,-0.16830027122836944,-0.2689331004859022,0.6470588235294118,False,development_rule_fit_rejection
