arm,regime,authoritative_rc,pipeline_valid,dev_positive_selected,dev_recall,dev_harm_ucb90,dev_safe_positive_pred_adv_nonnegative_fraction,cert_positive_selected,cert_recall,cert_harm_ucb90,candidate_safe_positive_auc,proposal_safe_positive_auc,deployability_harm_vs_safe_positive_auc,deployability_safe_positive_false_veto_n,deployability_safe_positive_n,deployability_harmful_false_safe_fraction
A,near,20,True,0,0.0,0.26050501154805517,0.0,1,0.1111111111111111,0.23609470141850816,0.34688674181427803,0.37189716312056736,0.4510050251256281,14,16,0.03768844221105527
A,contact,20,True,1,0.058823529411764705,0.25553505671422017,0.02702702702702703,0,0.0,0.2921463319946307,0.4863302139037433,0.45006657789613846,0.5251791425950262,30,31,0.035357417371252885
B,near,20,True,0,0.0,0.26050501154805517,0.0,1,0.1111111111111111,0.29798972626041265,0.37305421363392377,0.38608156028368795,0.47785804020100503,14,16,0.04773869346733668
B,contact,20,True,1,0.058823529411764705,0.3314780200017893,0.02702702702702703,1,0.05,0.31509820437241237,0.5128787878787879,0.4754686059612824,0.5434033373831544,29,31,0.04073789392774789
C,near,20,True,0,0.0,0.28244430139030524,0.0,0,0.0,0.1532200846463041,0.35299248523886206,0.37632978723404253,0.45964195979899497,14,16,0.03768844221105527
C,contact,20,True,1,0.058823529411764705,0.2915088636883554,0.05405405405405406,0,0.0,0.23676737097142053,0.4916555258467023,0.458977773225443,0.528551238501401,30,31,0.034588777863182166
D,near,20,True,0,0.0,0.26050501154805517,0.0,1,0.1111111111111111,0.29798972626041265,0.37110842726784754,0.38386524822695034,0.4789572864321608,14,16,0.04773869346733668
D,contact,20,True,1,0.058823529411764705,0.29588354866640865,0.02702702702702703,1,0.05,0.3189303966795005,0.5109959893048128,0.47342005531086756,0.5399072673625747,29,31,0.042275172943889314
