variant,regime,rejection_kind,valid,candidate_positive_auc,candidate_safe_positive_auc,proposal_evidence_top1_correlation,proposal_evidence_top1_safe_positive_auc,proposal_evidence_top1_harm_auc,dev_selected,dev_positive,dev_harmful,dev_precision_lcb,dev_harm_ucb,dev_recall,dev_advantage,dev_macro_share,dev_constraint_deficit_under_used_contract,cert_selected,cert_positive,cert_harmful,cert_precision_lcb,cert_harm_ucb,cert_recall,cert_advantage,cert_macro_share,used_fit_min_selected,used_fit_min_precision_lcb,used_fit_max_harm_group_ucb,used_fit_max_harm_selected_ucb,proposal_top_k,dev_oracle_safe_groups_top1,dev_oracle_safe_groups_top3,dev_oracle_safe_groups_top5,dev_oracle_safe_groups_top8,dev_oracle_fit_feasible_old_contract
balanced,near,development_rule_fit_rejection,False,0.824812382739212,0.8309849704777241,-0.014171602311712638,0.7809410834321866,0.7027234369006521,4,1,0,0.07808074768511777,0.29107859463208074,0.125,0.15561483280046365,0.75,0.862997846946963,0,0,0,,1.0,0.0,,0.0,8,0.4,0.14,0.25,3,5,7,8,8,True
balanced,contact,development_rule_fit_rejection,False,0.5699746606963102,0.581060606060606,-0.13625449528420605,0.49867021276595747,0.6585645272601794,11,1,1,0.027603400332629827,0.26050501154805517,0.058823529411764705,0.007373830589883431,0.5454545454545454,0.3829016112154254,18,0,5,0.0,0.42720063681429055,0.0,-0.13375847424731818,0.7222222222222222,10,0.4,0.16,0.25,3,8,17,17,17,True
precision,near,development_rule_fit_rejection,False,0.8189493433395872,0.7955582393988191,-0.01141411903717867,0.7895002523977789,0.6422775937394978,10,3,1,0.15379917807596724,0.28244430139030524,0.375,0.19131984612457859,0.6,0.278645123314338,8,0,4,0.0,0.7063545713642548,0.0,-0.2981778511102713,0.875,8,0.4,0.14,0.25,3,3,7,8,8,True
precision,contact,development_rule_fit_rejection,False,0.5399840327675379,0.5527406417112299,-0.16698739260072742,0.4514285714285714,0.6665581739991552,19,2,3,0.04458353306801702,0.2915088636883554,0.11764705882352941,-0.018291245937554112,0.631578947368421,0.42620728863219587,30,0,15,0.0,0.6139125456372903,0.0,-0.23033096128716524,0.8333333333333334,10,0.4,0.16,0.25,3,8,15,17,17,True
