version,variant,regime,candidate_safe_positive_auc,proposal_top1_corr,learned_evidence_top1_corr,learned_evidence_positive_auc,learned_evidence_harm_auc,false_switch_rate,harmful_switch_rate,verify_groups,selected,safe_positive_selected,precision,precision_lcb90,harmful_selected,harmful_selected_ucb90,safe_opportunities,safe_recall,teacher_advantage_mean,teacher_advantage_min,max_selected_macro_share,oracle_safe_positive_groups,oracle_precision_lcb90,valid,warnings
v48.35.2-ENGINEERING-INTEGRITY,balanced,near,0.8675422138836772,-0.07752758569428336,-0.06382962960588251,0.8334962528510915,0.6770848267622461,0.014234875444839857,0.2,290,4,1,0.25,0.07808074768511777,1,0.5674585496309226,9,0.1111111111111111,-0.13513374439593095,-0.5900774924545663,0.5,9,0.8456759411873505,False,held-out selections below requirement | held-out precision LCB below requirement | held-out conditional harmful-switch UCB above budget | adaptation-dev failed to produce a rule satisfying development constraints
v48.35.2-ENGINEERING-INTEGRITY,balanced,contact,0.5966607657329307,-0.031750925508542714,-0.15154565500170805,0.5453856562922869,0.6200370208606311,0.016129032258064516,0.3076923076923077,764,5,1,0.2,0.061895749028760355,1,0.4864585272436447,20,0.05,0.12449186624037092,0.0,1.0,20,0.9241130208892355,False,held-out selections below requirement | held-out precision LCB below requirement | held-out conditional harmful-switch UCB above budget | held-out selections exceed the macro concentration budget | adaptation-dev failed to produce a rule satisfying development constraints
v48.35.2-ENGINEERING-INTEGRITY,precision,near,0.8279549718574108,-0.09154913459613415,0.02383111400107664,0.8346428571428571,0.6134289127837514,0.017793594306049824,0.4,290,0,0,,,0,1.0,9,0.0,,,0.0,9,0.8456759411873505,False,held-out selections below requirement | held-out precision LCB below requirement | held-out conditional harmful-switch UCB above budget | adaptation-dev failed to produce a rule satisfying development constraints
v48.35.2-ENGINEERING-INTEGRITY,precision,contact,0.5308688257141866,0.026918601921451218,-0.192688744508737,0.3496217178460169,0.6825629164221355,0.025537634408602152,0.3333333333333333,764,0,0,,,0,1.0,20,0.0,,,0.0,20,0.9241130208892355,False,held-out selections below requirement | held-out precision LCB below requirement | held-out conditional harmful-switch UCB above budget | adaptation-dev failed to produce a rule satisfying development constraints
