variant,epoch,best_epoch,best_metric_name,best_metric_value,soft_harmful_mass_near,soft_harmful_mass_contact,soft_false_admission_near,soft_false_admission_contact,soft_safe_recall_near,soft_safe_recall_contact,raw_admission_rate_near,raw_admission_rate_contact,safe_admission_precision_near,safe_admission_precision_contact,invalid_admission_rate_near,invalid_admission_rate_contact
balanced,1,1,direct_integrity_selection_risk,26.27335476963947,0.23588739873982278,0.2452704969343954,0.44727464389455107,0.4716474712310449,0.8882266793932233,0.6694691901405653,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
balanced,2,1,direct_integrity_selection_risk,27.003151060533806,0.2976095582194188,0.30609061652473335,0.6023854549442019,0.6310187416587398,0.9317225813865662,0.7795551043181193,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
balanced,3,1,direct_integrity_selection_risk,27.632100812082076,0.33784878992733836,0.3434625065403766,0.7171348556876183,0.7456502519741821,0.9432862826756069,0.8455811015197209,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
balanced,4,1,direct_integrity_selection_risk,28.00215131454661,0.34599328388561723,0.3522889370676772,0.7489906416407653,0.7804227899552278,0.9392122370856149,0.8613159982931047,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
balanced,5,1,direct_integrity_selection_risk,28.308395016035597,0.35698465849546823,0.3626230480984367,0.7863251411888216,0.8181680465276356,0.9409390943390983,0.882041274082093,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
balanced,6,1,direct_integrity_selection_risk,28.316163115731992,0.35107228147382497,0.35989886226839035,0.7863372129255107,0.8227148754556826,0.9392082350594657,0.8831888905593327,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
balanced,7,1,direct_integrity_selection_risk,28.11258032267802,0.3413427112107517,0.3535654402370083,0.778086246723043,0.8216317592943468,0.9265506437846592,0.8810677159400213,0.008403361344537815,0.010344827586206896,0.0,0.0,1.0,1.0
precision,1,1,direct_integrity_selection_risk,25.807855431225583,0.14557136493508055,0.15122304338769152,0.2665601007673623,0.27887969018261444,0.8147401894841876,0.48462519815398586,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
precision,2,1,direct_integrity_selection_risk,26.116581194942317,0.19519878402812124,0.2117070950379049,0.3680469055793115,0.3859020604012424,0.91883898632867,0.640381332176427,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
precision,3,1,direct_integrity_selection_risk,26.579539938399122,0.22871539747917696,0.24549199937650099,0.44359753450511824,0.45376641184831146,0.9512446522712708,0.6912525922266973,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
precision,4,1,direct_integrity_selection_risk,26.763213517569802,0.23448745862526052,0.25365364088371783,0.4601832403485397,0.4709474557038287,0.9471240895135062,0.697707801229424,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
precision,5,1,direct_integrity_selection_risk,26.84524147319816,0.2363342460765339,0.25772546091245424,0.4675052849841969,0.4799984333803877,0.9426630735397339,0.700239256127841,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
precision,6,1,direct_integrity_selection_risk,26.78041090794767,0.228351273186047,0.25515878842180145,0.45791301052252364,0.47673885631785895,0.9377318876130241,0.6960591305461195,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
precision,7,1,direct_integrity_selection_risk,26.710467702175126,0.2218397694459858,0.25235633750903774,0.4496365526325202,0.4735565563828191,0.9337149773325238,0.6913495866788758,0.0,0.010344827586206896,0.0,0.0,0.0,1.0
